COVID-19 Vaccinations in the United States
Date generated: Tue Jul 13 2021 13:54:29 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,840265,114862,152343,683394,93418,644731,116892,369011,50.4,347250,63,325942,44.6,308943,56,420285,360680,59300,0,26859,286404,369956,175,132545,168428,24929,40,132183,151915,24808,37,301013,50.4,347250,63,41.1,284135,51.5,369011,75348,82.3,70856,77.4,39960,28390,2485,21,142157,155214,917440,367797,60.4,325191,53.4,132542,167682,24927,40,681430,111916,138002
Alabama,4884130,99611,128028,3422020,69792,3337493,87486,1993099,40.6,1939686,50.8,1633505,33.3,1600732,42,2363490,2239340,281300,0,114947,1584099,1722970,4,726365,789361,117644,135,726118,756893,117586,135,1515861,40.6,1939686,50.8,30.9,1483146,38.9,1993099,674626,79.4,583656,68.7,308455,243939,31177,85,1203769,141647,574714,1992775,47.6,1633469,39,726355,789341,117638,135,3421701,81724,116653
Arkansas,2877040,95336,124136,2290025,75884,2203124,95059,1299417,43.1,1247155,53.8,1054827,35,1019792,44,1399320,1298820,178900,0,79752,1062877,1146761,635,479407,497324,77931,165,478435,463722,77482,153,976896,43.1,1247155,53.8,32.4,942310,40.7,1299417,409408,78.1,346403,66.1,200449,133724,12137,93,747066,142602,549177,1295836,50.7,1053424,41.2,479401,496041,77818,164,2285098,89358,112505
American Samoa,54030,97021,124565,48178,86513,44757,103186,26736,48,24500,56.5,21998,39.5,20818,48,37830,15600,600,0,434,11875,35869,0,5422,16134,442,0,5409,14968,441,0,21556,48,24500,56.5,38.7,20377,47,26736,2652,28.1,2406,25.5,973,1415,18,0,4964,52607,572594,26732,56.2,21996,46.3,5421,16133,442,0,48172,101293,113611
Arizona,8243660,113257,146204,6892308,94691,6549044,116149,3739001,51.4,3549380,62.9,3208025,44.1,3062492,54.3,4389900,3422760,431000,0,245958,2923508,3715883,6959,1298460,1670176,237098,2291,1298049,1525413,236756,2274,2970927,51.4,3549380,62.9,40.8,2825736,50.1,3739001,1115175,85.2,965845,73.8,477927,445270,41338,1310,2128073,162618,629944,3738254,60.2,3207699,51.7,1298441,1670099,236868,2291,6891491,111045,132832
Bureau of Prisons,205990,N/A,N/A,197049,N/A,197048,N/A,106720,N/A,106719,N/A,97863,N/A,97863,N/A,109170,86220,10600,0,8632,81367,107050,0,38709,50570,8584,0,38709,50570,8584,0,89279,N/A,106719,N/A,0,89279,0,106720,3345,0,3124,0,1522,1489,113,0,6396,0,0,106719,0,97863,0,38709,50570,8584,0,197048,0,0
California,49668485,125704,162222,43661613,110502,40969181,133809,24757575,62.7,23236582,75.9,20205199,51.1,19029736,62.2,26854245,20198440,2615800,0,1600488,17606224,24447454,7447,7790678,10825780,1586503,2238,7766119,9682150,1579354,2113,18618696,62.7,23236582,75.9,47.1,17450382,57,24757575,5509282,94.4,4440346,76.1,2272737,2006434,160358,817,9884991,169318,850762,24679199,73.3,20157037,59.9,7790268,10778340,1586195,2234,43534835,129390,147620
Colorado,7101515,123317,157839,6305454,109494,5919922,131577,3385209,58.8,3173731,70.5,3052169,53,2878293,64,3844875,2916340,340300,0,226057,2614756,3461251,3390,1224040,1604564,222503,1062,1220515,1435320,221418,1040,2829666,58.8,3173731,70.5,49.1,2656875,59.1,3385209,739765,87.8,673311,79.9,332985,319533,20447,346,1421915,168791,842998,3373548,68.3,3044271,61.7,1224028,1596699,222482,1062,6285766,127344,143870
Connecticut,4783225,134161,168551,4478450,125613,4196832,147888,2424309,68,2271862,80.1,2203330,61.8,2078813,73.3,2595405,1937820,250000,0,178546,1722745,2576592,567,818019,1207007,178122,182,817657,1083029,177980,147,2025208,68,2271862,80.1,56.8,1900833,67,2424309,601411,95.4,563638,89.4,222823,322524,18250,41,1161439,184284,758948,2423064,78,2202887,70.9,817816,1206841,178048,182,4476836,144138,154002
District of Columbia,1072415,151954,185674,881223,124864,858188,148583,439957,62.3,424817,73.6,377609,53.5,367779,63.7,592515,425500,54400,0,28322,346406,506107,388,143377,202373,31654,205,143331,192620,31635,193,345955,62.3,424817,73.6,49,336144,58.2,439957,75091,86,67206,76.9,37865,27070,2247,24,170896,195661,1227820,439868,72.1,377567,61.9,143372,202338,31652,205,881144,144508,175877
